Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.01   6156.27     0.86      194     0.00     0.00  __mod_clm_vocemission_MOD_vocemission
  0.01   6157.12     0.85      145     0.00     0.00  __mod_lm_interface_MOD_surface_model
  0.01   6157.96     0.84      437     0.00     0.00  __mod_clm_subgridave_MOD_p2g_2d
  0.01   6158.71     0.75     3052     0.00     0.00  __mod_clm_histfile_MOD_hist_update_hbuf_field_2d
  0.01   6159.41     0.70      287     0.00     0.00  __mod_mppparam_MOD_uvtentotenx
  0.01   6160.05     0.64      290     0.00     0.00  __mod_clm_tridiagonal_MOD_tridiagonal
  0.01   6160.68     0.63      252     0.00     0.00  __mod_memutil_MOD_getmem3d_d
  0.01   6161.31     0.63      145     0.00     0.00  __mod_clm_soilhydrology_MOD_infiltration
  0.01   6161.93     0.62      145     0.00     0.00  __mod_clm_accflds_MOD_updateaccflds
  0.01   6162.51     0.58      145     0.00     0.00  __mod_clm_balancecheck_MOD_beginwaterbalance
  0.01   6163.05     0.54      145     0.00     0.00  __mod_ocn_zeng_MOD_zengocndrv
  0.01   6163.58     0.53       49     0.00     0.00  __mod_rad_radiation_MOD_radctl
  0.01   6164.09     0.51      931     0.00     0.00  __mod_rad_radiation_MOD_radclr
  0.01   6164.60     0.51      145     0.00     0.00  __mod_clm_soilhydrology_MOD_surfacerunoff
  0.01   6165.10     0.50      290     0.00     0.00  __mod_clm_slaketemperature_MOD_soilthermprop_lake
  0.01   6165.60     0.50      145     0.00     0.00  __mod_clm_regcm_MOD_runclm45
  0.01   6166.08     0.48      287     0.00     0.00  __mod_mppparam_MOD_tenxtouvten
  0.01   6166.55     0.47    27267     0.00     0.00  __mod_clm_subgridave_MOD_build_scale_l2g
  0.01   6166.96     0.41 75827075     0.00     0.00  __mod_ocn_coare_MOD_coare3_drv
  0.01   6167.37     0.41     3532     0.00     0.00  __mod_mppparam_MOD_myunpack_real8_subgrid
  0.01   6167.76     0.39       49     0.00     0.00  __mod_rad_outrad_MOD_radout
  0.01   6168.09     0.33      145     0.00     0.00  __mod_clm_driverinit_MOD_clm_driverinit
  0.00   6168.39     0.30     1440     0.00     0.00  __mod_bdycod_MOD_monudge2d
  0.00   6168.69     0.30      145     0.00     0.00  __mod_clm_slakefluxes_MOD_slakefluxes
  0.00   6168.98     0.29     2903     0.00     0.00  __mod_mppparam_MOD_mypack_real8_subgrid
  0.00   6169.25     0.27     2178     0.00     0.00  __mod_mppparam_MOD_global_to_linear_real8_grid_subgrid
  0.00   6169.52     0.27       22     0.00     0.00  __mod_memutil_MOD_getmem4d_d
  0.00   6169.78     0.26      146     0.00     0.00  __mod_clm_atmlnd_MOD_clm_map2gcell
  0.00   6170.03     0.25 54119974     0.00     0.00  __mod_sunorbit_MOD_orb_cosz_r8
  0.00   6170.28     0.25      145     0.00     0.00  __mod_clm_driver_MOD_clm_drv
  0.00   6170.53     0.25      100     0.00     0.00  __mod_clm_snicar_MOD_snicar_rt
  0.00   6170.78     0.25        2     0.00     0.00  __mod_rad_radiation_MOD_radems
  0.00   6171.00     0.22   421804     0.00     0.00  __mod_heatindex_MOD_solve4.constprop.4
  0.00   6171.22     0.22 10480248     0.00     0.00  __mod_heatindex_MOD_find_eqvar
  0.00   6171.44     0.22     2757     0.00     0.00  __mod_mppparam_MOD_cartesian_to_linear_real8_grid_subgrid
  0.00   6171.65     0.21 12930230     0.00     0.00  __mod_clm_frictionvelocity_MOD_moninobukini
  0.00   6171.86     0.21      145     0.00     0.00  __mod_clm_slakehydrology_MOD_slakehydrology
  0.00   6172.06     0.20     2186     0.00     0.00  __mod_mppparam_MOD_mypack_global_real8_subgrid
  0.00   6172.26     0.20      145     0.00     0.00  __mod_clm_regcm_MOD_atmosphere_to_land
